x,phi,rho,ef
21,0,1.60218e-07,-904.756
21.005,4.29759,1.60218e-07,-814.281
21.01,8.14281,1.60218e-07,-723.805
21.015,11.5356,1.60218e-07,-633.329
21.02,14.4761,1.60218e-07,-542.854
21.025,16.9642,1.60218e-07,-452.378
21.03,18.9999,1.60218e-07,-361.903
21.035,20.5832,1.60218e-07,-271.427
21.04,21.7142,1.60218e-07,-180.951
21.045,22.3927,1.60218e-07,-90.4756
21.05,22.6189,1.60218e-07,-6.20446e-09
21.055,22.3927,1.60218e-07,90.4756
21.06,21.7142,1.60218e-07,180.951
21.065,20.5832,1.60218e-07,271.427
21.07,18.9999,1.60218e-07,361.903
21.075,16.9642,1.60218e-07,452.378
21.08,14.4761,1.60218e-07,542.854
21.085,11.5356,1.60218e-07,633.329
21.09,8.14281,1.60218e-07,723.805
21.095,4.29759,1.60218e-07,814.281
21.1,0,1.60218e-07,904.756
