time,x,v,KE,PE
1e-10,0.0200005,4773.91,6.47884e-05,8.14269
2e-10,0.0200019,14321.6,0.000583083,8.14221
3e-10,0.0200043,23868.8,0.00161961,8.14126
4e-10,0.0200076,33415.3,0.00317423,8.13984
5e-10,0.0200119,42960.6,0.00524675,8.13794
6e-10,0.0200172,52504.7,0.0078369,8.13556
7e-10,0.0200234,62047,0.0109444,8.13271
8e-10,0.0200305,71587.4,0.0145687,8.12939
9e-10,0.0200387,81125.5,0.0187096,8.12559
1e-09,0.0200477,90661,0.0233663,8.12131
1.1e-09,0.0200577,100194,0.0285384,8.11656
1.2e-09,0.0200687,109723,0.0342251,8.11134
1.3e-09,0.0200806,119249,0.0404258,8.10565
1.4e-09,0.0200935,128771,0.0471396,8.09947
1.5e-09,0.0201073,138289,0.0543658,8.09283
1.6e-09,0.0201221,147803,0.0621033,8.08571
1.7e-09,0.0201379,157312,0.0703512,8.07812
1.8e-09,0.0201545,166816,0.0791085,8.07006
1.9e-09,0.0201722,176314,0.088374,8.06152
2e-09,0.0201908,185807,0.0981465,8.05251
2.1e-09,0.0202103,195295,0.108425,8.04303
2.2e-09,0.0202308,204776,0.119208,8.03307
2.3e-09,0.0202522,214250,0.130494,8.02265
2.4e-09,0.0202746,223717,0.142281,8.01175
2.5e-09,0.0202979,233178,0.154569,8.00038
2.6e-09,0.0203221,242631,0.167356,7.98854
2.7e-09,0.0203473,252076,0.180639,7.97623
2.8e-09,0.0203735,261513,0.194418,7.96346
2.9e-09,0.0204006,270942,0.20869,7.95021
3e-09,0.0204286,280363,0.223455,7.93649
3.1e-09,0.0204576,289774,0.238709,7.92231
3.2e-09,0.0204875,299176,0.25445,7.90765
3.3e-09,0.0205184,308569,0.270678,7.89253
3.4e-09,0.0205502,317952,0.28739,7.87694
3.5e-09,0.0205829,327325,0.304583,7.86089
3.6e-09,0.0206166,336687,0.322256,7.84437
3.7e-09,0.0206512,346038,0.340406,7.82738
3.8e-09,0.0206867,355379,0.359031,7.80993
3.9e-09,0.0207232,364708,0.378129,7.79201
4e-09,0.0207606,374026,0.397697,7.77363
4.1e-09,0.0207989,383332,0.417732,7.75479
4.2e-09,0.0208382,392625,0.438233,7.73548
4.3e-09,0.0208784,401906,0.459196,7.71571
4.4e-09,0.0209195,411175,0.480619,7.69548
4.5e-09,0.0209615,420430,0.502499,7.67479
4.6e-09,0.0210045,429672,0.524834,7.65364
4.7e-09,0.0210484,438900,0.54762,7.63203
4.8e-09,0.0210932,448114,0.570854,7.60996
4.9e-09,0.0211389,457314,0.594535,7.58743
5e-09,0.0211856,466499,0.618657,7.56445
5.1e-09,0.0212332,475670,0.64322,7.541
5.2e-09,0.0212816,484825,0.668219,7.51711
5.3e-09,0.021331,493965,0.693651,7.49275
5.4e-09,0.0213813,503089,0.719513,7.46795
5.5e-09,0.0214326,512197,0.745801,7.44268
5.6e-09,0.0214847,521289,0.772513,7.41697
5.7e-09,0.0215377,530365,0.799645,7.3908
5.8e-09,0.0215917,539423,0.827194,7.36419
5.9e-09,0.0216465,548464,0.855156,7.33712
6e-09,0.0217023,557488,0.883527,7.3096
6.1e-09,0.0217589,566494,0.912303,7.28164
6.2e-09,0.0218165,575482,0.941482,7.25322
6.3e-09,0.0218749,584452,0.97106,7.22436
6.4e-09,0.0219342,593403,1.00103,7.19506
6.5e-09,0.0219945,602335,1.03139,7.16531
6.6e-09,0.0220556,611248,1.06214,7.13511
6.7e-09,0.0221176,620142,1.09328,7.10447
6.8e-09,0.0221805,629016,1.12479,7.07339
6.9e-09,0.0222443,637870,1.15668,7.04187
7e-09,0.022309,646703,1.18894,7.00991
7.1e-09,0.0223745,655516,1.22156,6.97751
7.2e-09,0.022441,664308,1.25455,6.94467
7.3e-09,0.0225083,673079,1.2879,6.9114
7.4e-09,0.0225765,681829,1.3216,6.87769
7.5e-09,0.0226455,690556,1.35565,6.84354
7.6e-09,0.0227154,699262,1.39004,6.80896
7.7e-09,0.0227862,707946,1.42478,6.77395
7.8e-09,0.0228579,716607,1.45986,6.7385
7.9e-09,0.0229304,725245,1.49527,6.70263
8e-09,0.0230038,733860,1.531,6.66633
8.1e-09,0.023078,742452,1.56706,6.62959
8.2e-09,0.0231531,751021,1.60344,6.59244
8.3e-09,0.0232291,759565,1.64013,6.55485
8.4e-09,0.0233059,768085,1.67713,6.51684
8.5e-09,0.0233836,776581,1.71444,6.47841
8.6e-09,0.0234621,785052,1.75204,6.43956
8.7e-09,0.0235414,793498,1.78995,6.40028
8.8e-09,0.0236216,801918,1.82814,6.36058
8.9e-09,0.0237026,810313,1.86661,6.32047
9e-09,0.0237845,818683,1.90537,6.27994
9.1e-09,0.0238672,827026,1.94441,6.23899
9.2e-09,0.0239508,835343,1.98371,6.19763
9.3e-09,0.0240351,843634,2.02328,6.15586
9.4e-09,0.0241203,851897,2.06311,6.11367
9.5e-09,0.0242063,860134,2.1032,6.07108
9.6e-09,0.0242932,868343,2.14354,6.02807
9.7e-09,0.0243808,876524,2.18412,5.98466
9.8e-09,0.0244693,884678,2.22494,5.94084
9.9e-09,0.0245586,892803,2.266,5.89661
1e-08,0.0246486,900900,2.30729,5.85198
1.01e-08,0.0247395,908969,2.3488,5.80695
1.02e-08,0.0248312,917008,2.39053,5.76152
1.03e-08,0.0249237,925018,2.43248,5.71569
1.04e-08,0.025017,932999,2.47463,5.66946
1.05e-08,0.0251111,940950,2.51699,5.62863
1.06e-08,0.025206,948871,2.55955,5.59016
1.07e-08,0.0253017,956762,2.6023,5.55137
1.08e-08,0.0253982,964623,2.64523,5.51225
1.09e-08,0.0254954,972453,2.68835,5.47282
1.1e-08,0.0255934,980252,2.73164,5.43307
1.11e-08,0.0256922,988019,2.7751,5.393
1.12e-08,0.0257918,995755,2.81873,5.35262
1.13e-08,0.0258922,1.00346e+06,2.86252,5.31192
1.14e-08,0.0259933,1.01113e+06,2.90646,5.27091
1.15e-08,0.0260952,1.01877e+06,2.95055,5.22959
1.16e-08,0.0261978,1.02638e+06,2.99479,5.18795
1.17e-08,0.0263012,1.03396e+06,3.03915,5.14601
1.18e-08,0.0264053,1.0415e+06,3.08366,5.10376
1.19e-08,0.0265102,1.04901e+06,3.12828,5.0612
1.2e-08,0.0266159,1.05648e+06,3.17303,5.01834
1.21e-08,0.0267223,1.06393e+06,3.21789,4.97518
1.22e-08,0.0268294,1.07133e+06,3.26286,4.93171
1.23e-08,0.0269373,1.07871e+06,3.30793,4.88794
1.24e-08,0.0270459,1.08605e+06,3.3531,4.84387
1.25e-08,0.0271552,1.09335e+06,3.39837,4.79951
1.26e-08,0.0272653,1.10062e+06,3.44371,4.75484
1.27e-08,0.0273761,1.10786e+06,3.48914,4.70989
1.28e-08,0.0274876,1.11506e+06,3.53464,4.66463
1.29e-08,0.0275998,1.12223e+06,3.58021,4.61909
1.3e-08,0.0277127,1.12935e+06,3.62584,4.57325
1.31e-08,0.0278264,1.13645e+06,3.67153,4.52713
1.32e-08,0.0279407,1.1435e+06,3.71727,4.48072
1.33e-08,0.0280558,1.15053e+06,3.76306,4.43402
1.34e-08,0.0281715,1.15751e+06,3.80888,4.38703
1.35e-08,0.028288,1.16446e+06,3.85474,4.33976
1.36e-08,0.0284051,1.17137e+06,3.90062,4.29221
1.37e-08,0.0285229,1.17824e+06,3.94653,4.24438
