ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
0,2e-10,0.0461146,68921,8e+08,0,0,0,0,9261,1e+08,0,0,0,0,7.68601e-11,7.68601e-11
1,4e-10,0.0933008,68921,8e+08,2.94241e-20,2.94241e-20,2.94241e-20,3.30357e-20,9261,1e+08,4.61092e-20,4.61092e-20,4.61092e-20,5.50812e-17,7.686e-11,7.68601e-11
2,6e-10,0.104874,68921,8e+08,3.04121e-20,3.04121e-20,3.04121e-20,1.2581e-19,9261,1e+08,9.22185e-20,9.22185e-20,9.22185e-20,2.20324e-16,7.68598e-11,7.686e-11
3,8e-10,0.114624,68921,8e+08,3.19769e-20,3.19769e-20,3.24624e-20,2.84655e-19,9261,1e+08,1.38328e-19,1.38328e-19,1.38328e-19,4.95727e-16,7.68595e-11,7.686e-11
4,1e-09,0.124709,68921,8e+08,8.86834e-20,8.86834e-20,8.81978e-20,5.09524e-19,9261,1e+08,1.84437e-19,1.84437e-19,1.84437e-19,8.81287e-16,7.6859e-11,7.68599e-11
5,1.2e-09,0.134249,68921,8e+08,9.02481e-20,9.02481e-20,9.02481e-20,7.87891e-19,9261,1e+08,2.30546e-19,2.30546e-19,2.30546e-19,1.377e-15,7.68585e-11,7.68599e-11
6,1.4e-09,0.143997,68921,8e+08,9.1236e-20,9.1236e-20,9.1236e-20,1.13228e-18,9261,1e+08,2.76655e-19,2.76655e-19,2.76655e-19,1.98286e-15,7.68579e-11,7.68598e-11
7,1.6e-09,0.15354,68921,8e+08,9.27697e-20,9.27697e-20,9.30748e-20,1.54274e-18,9261,1e+08,3.22764e-19,3.22764e-19,3.22764e-19,2.69886e-15,7.68571e-11,7.68598e-11
8,1.8e-09,0.163019,68921,8e+08,9.43378e-20,9.43378e-20,9.44857e-20,2.01922e-18,9261,1e+08,3.68873e-19,3.68873e-19,3.68873e-19,3.525e-15,7.68562e-11,7.68598e-11
9,2e-09,0.174252,68921,8e+08,1.7867e-19,1.7867e-19,1.78444e-19,2.56174e-18,9261,1e+08,4.14982e-19,4.14982e-19,4.14982e-19,4.46125e-15,7.68552e-11,7.68597e-11
10,2.2e-09,0.185513,68921,8e+08,1.79658e-19,1.79658e-19,1.79432e-19,3.15145e-18,9261,1e+08,4.6109e-19,4.6109e-19,4.6109e-19,5.50763e-15,7.68542e-11,7.68597e-11
11,2.4e-09,0.196552,68921,8e+08,1.81152e-19,1.81152e-19,1.81258e-19,3.80723e-18,9261,1e+08,5.07199e-19,5.07199e-19,5.07199e-19,6.6641e-15,7.6853e-11,7.68596e-11
12,2.6e-09,0.207922,68921,8e+08,1.82737e-19,1.82737e-19,1.82271e-19,4.52903e-18,9261,1e+08,5.53307e-19,5.53307e-19,5.53307e-19,7.93066e-15,7.68517e-11,7.68596e-11
13,2.8e-09,0.21923,68921,8e+08,1.84324e-19,1.84324e-19,1.84731e-19,5.31686e-18,9261,1e+08,5.99415e-19,5.99415e-19,5.99415e-19,9.3073e-15,7.68502e-11,7.68596e-11
14,3e-09,0.230152,68921,8e+08,1.85312e-19,1.85312e-19,1.85719e-19,6.17069e-18,9261,1e+08,6.45523e-19,6.45523e-19,6.45523e-19,1.0794e-14,7.68487e-11,7.68595e-11
15,3.2e-09,0.241402,68921,8e+08,1.86842e-19,1.86842e-19,1.87531e-19,7.09058e-18,9261,1e+08,6.91631e-19,6.91631e-19,6.91631e-19,1.23907e-14,7.68471e-11,7.68595e-11
16,3.4e-09,0.252699,68921,8e+08,2.98692e-19,2.98692e-19,2.98033e-19,8.07647e-18,9261,1e+08,7.37739e-19,7.37739e-19,7.37739e-19,1.40975e-14,7.68454e-11,7.68595e-11
17,3.6e-09,0.263796,68921,8e+08,3.00304e-19,3.00304e-19,2.99882e-19,9.1033e-18,9261,1e+08,7.83846e-19,7.83846e-19,7.83846e-19,1.59143e-14,7.68435e-11,7.68594e-11
18,3.8e-09,0.275134,68921,8e+08,3.01292e-19,3.01292e-19,3.0087e-19,1.01961e-17,9261,1e+08,8.29953e-19,8.29953e-19,8.29953e-19,1.78411e-14,7.68416e-11,7.68594e-11
19,4e-09,0.286596,68921,8e+08,3.02786e-19,3.02786e-19,3.02656e-19,1.1355e-17,9261,1e+08,8.7606e-19,8.7606e-19,8.7606e-19,1.98778e-14,7.68395e-11,7.68594e-11
20,4.2e-09,0.297751,68921,8e+08,3.04415e-19,3.04415e-19,3.04541e-19,1.25799e-17,9261,1e+08,9.22167e-19,9.22167e-19,9.22167e-19,2.20245e-14,7.68373e-11,7.68594e-11
21,4.4e-09,0.309726,68921,8e+08,3.05945e-19,3.05945e-19,3.06369e-19,1.38707e-17,9261,1e+08,9.68273e-19,9.68273e-19,9.68273e-19,2.42811e-14,7.6835e-11,7.68593e-11
22,4.6e-09,0.321143,68921,8e+08,3.06932e-19,3.06932e-19,3.07356e-19,1.52276e-17,9261,1e+08,1.01438e-18,1.01438e-18,1.01438e-18,2.66476e-14,7.68326e-11,7.68593e-11
23,4.8e-09,0.332371,68921,8e+08,3.08426e-19,3.08426e-19,3.09143e-19,1.66504e-17,9261,1e+08,1.06048e-18,1.06048e-18,1.06048e-18,2.9124e-14,7.68301e-11,7.68593e-11
24,5e-09,0.343968,68921,8e+08,3.10089e-19,3.10089e-19,3.10179e-19,1.81393e-17,9261,1e+08,1.10659e-18,1.10659e-18,1.10659e-18,3.17102e-14,7.68275e-11,7.68593e-11
25,5.2e-09,0.355388,68921,8e+08,4.49495e-19,4.49495e-19,4.48882e-19,1.96941e-17,9261,1e+08,1.1527e-18,1.1527e-18,1.1527e-18,3.44062e-14,7.68248e-11,7.68592e-11
26,5.4e-09,0.367366,68921,8e+08,4.50482e-19,4.50482e-19,4.49869e-19,2.12836e-17,9261,1e+08,1.1988e-18,1.1988e-18,1.1988e-18,3.7212e-14,7.6822e-11,7.68592e-11
27,5.6e-09,0.378978,68921,8e+08,4.51956e-19,4.51956e-19,4.51655e-19,2.29391e-17,9261,1e+08,1.2449e-18,1.2449e-18,1.2449e-18,4.01276e-14,7.68191e-11,7.68592e-11
28,5.8e-09,0.390439,68921,8e+08,4.53548e-19,4.53548e-19,4.52697e-19,2.46605e-17,9261,1e+08,1.29101e-18,1.29101e-18,1.29101e-18,4.31529e-14,7.6816e-11,7.68592e-11
29,6e-09,0.401735,68921,8e+08,4.55177e-19,4.55177e-19,4.55541e-19,2.64479e-17,9261,1e+08,1.33711e-18,1.33711e-18,1.33711e-18,4.62879e-14,7.68129e-11,7.68592e-11
30,6.2e-09,0.41353,68921,8e+08,4.56163e-19,4.56163e-19,4.56528e-19,2.83013e-17,9261,1e+08,1.38322e-18,1.38322e-18,1.38322e-18,4.95325e-14,7.68096e-11,7.68592e-11
31,6.4e-09,0.424897,68921,8e+08,4.57637e-19,4.57637e-19,4.58314e-19,3.02206e-17,9261,1e+08,1.42932e-18,1.42932e-18,1.42932e-18,5.28868e-14,7.68062e-11,7.68592e-11
32,6.6e-09,0.436119,68921,8e+08,4.59141e-19,4.59141e-19,4.59403e-19,3.22059e-17,9261,1e+08,1.47542e-18,1.47542e-18,1.47542e-18,5.63507e-14,7.68028e-11,7.68592e-11
33,6.8e-09,0.447221,68921,8e+08,4.60871e-19,4.60871e-19,4.6125e-19,3.42571e-17,9261,1e+08,1.52152e-18,1.52152e-18,1.52152e-18,5.99241e-14,7.67992e-11,7.68591e-11
34,7e-09,0.458598,68921,8e+08,4.61858e-19,4.61858e-19,4.62236e-19,3.63743e-17,9261,1e+08,1.56762e-18,1.56762e-18,1.56762e-18,6.3607e-14,7.67955e-11,7.68591e-11
35,7.2e-09,0.47001,68921,8e+08,4.63307e-19,4.63307e-19,4.64022e-19,3.85574e-17,9261,1e+08,1.61373e-18,1.61373e-18,1.61373e-18,6.73994e-14,7.67917e-11,7.68591e-11
36,7.4e-09,0.481152,68921,8e+08,6.30314e-19,6.30314e-19,6.29177e-19,4.08064e-17,9261,1e+08,1.65983e-18,1.65983e-18,1.65983e-18,7.13012e-14,7.67878e-11,7.68591e-11
37,7.6e-09,0.492524,68921,8e+08,6.31823e-19,6.31823e-19,6.31031e-19,4.30838e-17,9261,1e+08,1.70593e-18,1.70593e-18,1.70593e-18,7.53124e-14,7.67838e-11,7.68591e-11
38,7.8e-09,0.503788,68921,8e+08,6.32809e-19,6.32809e-19,6.32017e-19,4.5427e-17,9261,1e+08,1.75203e-18,1.75203e-18,1.75203e-18,7.94329e-14,7.67797e-11,7.68591e-11
39,8e-09,0.516792,68921,8e+08,6.34257e-19,6.34257e-19,6.33779e-19,4.78362e-17,9261,1e+08,1.79812e-18,1.79812e-18,1.79812e-18,8.36627e-14,7.67754e-11,7.68591e-11
40,8.2e-09,0.529669,68921,8e+08,6.36028e-19,6.36028e-19,6.3608e-19,5.03113e-17,9261,1e+08,1.84422e-18,1.84422e-18,1.84422e-18,8.80018e-14,7.67711e-11,7.68591e-11
41,8.4e-09,0.542713,68921,8e+08,6.37548e-19,6.37548e-19,6.3797e-19,5.28523e-17,9261,1e+08,1.89032e-18,1.89032e-18,1.89032e-18,9.245e-14,7.67666e-11,7.68591e-11
42,8.6e-09,0.555967,68921,8e+08,6.38533e-19,6.38533e-19,6.38955e-19,5.54591e-17,9261,1e+08,1.93642e-18,1.93642e-18,1.93642e-18,9.70075e-14,7.67621e-11,7.68591e-11
43,8.8e-09,0.569203,68921,8e+08,6.39981e-19,6.39981e-19,6.40695e-19,5.81319e-17,9261,1e+08,1.98252e-18,1.98252e-18,1.98252e-18,1.01674e-13,7.67574e-11,7.68591e-11
44,9e-09,0.582765,68921,8e+08,6.41721e-19,6.41721e-19,6.41798e-19,6.08705e-17,9261,1e+08,2.02861e-18,2.02861e-18,2.02861e-18,1.0645e-13,7.67526e-11,7.68591e-11
45,9.2e-09,0.595858,68921,8e+08,6.43169e-19,6.43169e-19,6.43608e-19,6.36749e-17,9261,1e+08,2.07471e-18,2.07471e-18,2.07471e-18,1.11334e-13,7.67477e-11,7.68591e-11
46,9.4e-09,0.610283,68921,8e+08,6.44154e-19,6.44154e-19,6.44593e-19,6.65453e-17,9261,1e+08,2.1208e-18,2.1208e-18,2.1208e-18,1.16328e-13,7.67427e-11,7.68591e-11
47,9.6e-09,0.624094,68921,8e+08,6.45602e-19,6.45602e-19,6.46332e-19,6.94815e-17,9261,1e+08,2.1669e-18,2.1669e-18,2.1669e-18,1.2143e-13,7.67376e-11,7.68591e-11
48,9.8e-09,0.637592,68921,8e+08,6.47238e-19,6.47238e-19,6.47399e-19,7.24835e-17,9261,1e+08,2.21299e-18,2.21299e-18,2.21299e-18,1.26641e-13,7.67324e-11,7.68592e-11
49,1e-08,0.651274,68921,8e+08,8.41791e-19,8.41791e-19,8.40657e-19,7.55514e-17,9261,1e+08,2.25908e-18,2.25908e-18,2.25908e-18,1.31961e-13,7.67271e-11,7.68592e-11
50,1.02e-08,0.664416,68921,8e+08,8.42776e-19,8.42776e-19,8.41642e-19,7.86412e-17,9261,1e+08,2.30517e-18,2.30517e-18,2.30517e-18,1.3739e-13,7.67217e-11,7.68592e-11
51,1.04e-08,0.679272,68921,8e+08,8.44223e-19,8.44223e-19,8.43348e-19,8.17968e-17,9261,1e+08,2.35127e-18,2.35127e-18,2.35127e-18,1.42928e-13,7.67162e-11,7.68592e-11
52,1.06e-08,0.693461,68921,8e+08,8.45693e-19,8.45693e-19,8.44644e-19,8.50183e-17,9261,1e+08,2.39736e-18,2.39736e-18,2.39736e-18,1.48574e-13,7.67105e-11,7.68592e-11
53,1.08e-08,0.707605,68921,8e+08,8.47357e-19,8.47357e-19,8.47831e-19,8.83056e-17,9261,1e+08,2.44345e-18,2.44345e-18,2.44345e-18,1.54328e-13,7.67048e-11,7.68592e-11
54,1.1e-08,0.721015,68921,8e+08,8.48341e-19,8.48341e-19,8.48815e-19,9.16586e-17,9261,1e+08,2.48954e-18,2.48954e-18,2.48954e-18,1.60191e-13,7.66989e-11,7.68592e-11
55,1.12e-08,0.734192,68921,8e+08,8.49788e-19,8.49788e-19,8.50521e-19,9.50774e-17,9261,1e+08,2.53562e-18,2.53562e-18,2.53562e-18,1.66163e-13,7.6693e-11,7.68592e-11
56,1.14e-08,0.747908,68921,8e+08,8.51323e-19,8.51323e-19,8.51592e-19,9.85619e-17,9261,1e+08,2.58171e-18,2.58171e-18,2.58171e-18,1.72242e-13,7.66869e-11,7.68592e-11
57,1.16e-08,0.761712,68921,8e+08,8.53163e-19,8.53163e-19,8.5348e-19,1.02112e-16,9261,1e+08,2.6278e-18,2.6278e-18,2.6278e-18,1.78431e-13,7.66807e-11,7.68593e-11
58,1.18e-08,0.775649,68921,8e+08,8.54146e-19,8.54146e-19,8.54463e-19,1.05728e-16,9261,1e+08,2.67388e-18,2.67388e-18,2.67388e-18,1.84727e-13,7.66744e-11,7.68593e-11
59,1.2e-08,0.789134,68921,8e+08,8.55574e-19,8.55574e-19,8.5615e-19,1.0941e-16,9261,1e+08,2.71997e-18,2.71997e-18,2.71997e-18,1.91131e-13,7.66681e-11,7.68593e-11
60,1.22e-08,0.802671,68921,8e+08,8.572e-19,8.572e-19,8.5717e-19,1.13158e-16,9261,1e+08,2.76605e-18,2.76605e-18,2.76605e-18,1.97644e-13,7.66616e-11,7.68593e-11
