ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,E_total
0,1e-07,8.186,5600,280000,0,0,5.36273e-17,1.93292e-13,1.16677e-08,1.16679e-08
1,2e-07,9.40502,11200,560000,-2.38468e-24,-9.61419e-24,1.1036e-16,4.09618e-13,1.16677e-08,1.16681e-08
2,3e-07,10.8232,16800,840000,1.78058e-23,-5.91489e-23,1.70198e-16,6.50275e-13,1.16677e-08,1.16683e-08
3,4e-07,12.4493,22400,1.12e+06,4.88301e-23,-1.64691e-22,2.33141e-16,9.16559e-13,1.16677e-08,1.16686e-08
4,5e-07,14.2343,28000,1.4e+06,8.67121e-23,-3.29432e-22,2.99188e-16,1.20976e-12,1.16676e-08,1.16688e-08
5,6e-07,15.3161,33600,1.68e+06,1.21924e-22,-5.66838e-22,3.6834e-16,1.53117e-12,1.16676e-08,1.16691e-08
6,7e-07,16.3031,39200,1.96e+06,1.53918e-22,-8.95752e-22,4.40594e-16,1.88208e-12,1.16675e-08,1.16694e-08
7,8e-07,17.3449,44800,2.24e+06,1.57373e-22,-1.30643e-21,5.15951e-16,2.26377e-12,1.16675e-08,1.16697e-08
8,9e-07,19.2853,50400,2.52e+06,1.39998e-22,-1.79783e-21,5.94408e-16,2.67753e-12,1.16674e-08,1.16701e-08
9,1e-06,21.6462,56000,2.8e+06,1.06753e-22,-2.39448e-21,6.75964e-16,3.12464e-12,1.16673e-08,1.16704e-08
10,1.1e-06,24.1117,61599,3.07995e+06,3.12261e-23,-3.09667e-21,7.60604e-16,3.6063e-12,1.16672e-08,1.16708e-08
11,1.2e-06,26.6437,67199,3.35995e+06,-6.60647e-23,-3.90877e-21,8.48356e-16,4.12396e-12,1.16671e-08,1.16712e-08
12,1.3e-06,29.2323,72799,3.63995e+06,-1.90079e-22,-4.83582e-21,9.39205e-16,4.67882e-12,1.1667e-08,1.16717e-08
13,1.4e-06,31.8069,78397,3.91985e+06,-3.36356e-22,-5.86249e-21,1.03312e-15,5.27201e-12,1.1667e-08,1.16722e-08
14,1.5e-06,33.1318,83997,4.19985e+06,-5.11636e-22,-6.92986e-21,1.13016e-15,5.90515e-12,1.16669e-08,1.16728e-08
15,1.6e-06,34.5222,89597,4.47985e+06,-6.98795e-22,-8.03899e-21,1.2303e-15,6.57935e-12,1.16669e-08,1.16734e-08
